pop_num,referenced_dataset,obj0,ananlytics_ob0,local_id
0,common_dataset,-0.132741,[-0.13295105343217162],45509f1f-e6c7-4e51-a9ad-153fcd08485d
0,common_dataset,-0.110569,[-0.11088919221286532],6f1de767-9b52-41b8-8336-755489f17b92
0,common_dataset,-0.135727,[-0.13598719123734457],d39bcc65-a958-4c2f-b6f0-92037f1028d2
0,common_dataset,-0.118535,[-0.11878450052411789],d3fff9d3-954f-4d49-96e0-dafda86a3178
0,common_dataset,-0.113907,[-0.1140465979231499],3c2f50b0-917a-412c-a69b-5bb2384e47bb
0,common_dataset,-0.158277,[-0.15846671226047226],ddaa990e-41c4-4ecb-8d0d-bd1088acb321
0,common_dataset,-0.113731,[-0.11409073564765329],69feff5f-b02b-4b8d-bbf7-c95cd08faa5c
0,common_dataset,-0.113127,[-0.11324661399815733],28b04d17-869b-4ebd-bf00-ecae6522d1bd
0,common_dataset,-0.109463,[-0.10963329764353374],67d6285b-8a77-4e29-99c1-1c5871cf4e91
0,common_dataset,-0.128328,[-0.12838838262624497],43d3db9a-2bfc-4d12-ba75-a3f57dd4ff95
0,common_dataset,-0.126362,[-0.12650191514274567],1d23d49e-0472-4e3a-80e1-7b891a95753c
0,common_dataset,-0.123782,[-0.12392180370453584],952ef443-8c1c-405f-b503-e479d2552f60
0,common_dataset,-0.110884,[-0.11105405436329098],392b8cdd-658c-40a8-ab69-7ff4052092ac
0,common_dataset,-0.119456,[-0.11963597434721068],fd49b4f2-1857-43f4-9bc7-d467e31ed1d9
0,common_dataset,-0.136304,[-0.13661416657294398],2b744b1a-ad90-4b1e-b62c-617ea15c7970
0,common_dataset,-0.116342,[-0.1164720859191495],bbe728e7-9d03-46fb-89c7-4523ee0aaa05
0,common_dataset,-0.107987,[-0.1082670759553087],c701ff83-ecaf-4bc2-892b-3314fa6ebfa5
0,common_dataset,-0.115967,[-0.11612695763190713],4326b93b-867a-4ca2-a0a6-3d8013976b48
0,common_dataset,-0.152265,[-0.15253459410127387],10bc6e0e-dbaf-4ea9-b872-7650a6a9f24c
0,common_dataset,-0.133158,[-0.13340801444596923],7befdb75-2c1b-41bd-ac3e-5b4676da04b5
